SMILES,logP,tPSA,QED,SAS,NP,MW,NATOM
Cc1cc(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)n(C)n1,4.043499999999999,79.26,0.7231655411168219,2.269061073499614,-2.068594295288853,437.5880000000003,32
CS(=O)(=O)c1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,4.1606,66.48,0.8555202971650593,2.026191235825406,-1.9016013518835493,378.5380000000003,26
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1ccc(O)nn1,3.497200000000001,107.45,0.6410499396591604,2.359372660510079,-1.9442122517054843,437.54400000000027,32
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1ccnnc1,3.7916000000000007,87.22000000000001,0.7465781557134423,2.288366763619303,-1.7446179505039192,421.54500000000024,31
O=C(CC1(O)CC1)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.6027999999999993,81.67,0.6411701279971336,2.311941653489532,-1.1814151159557835,413.5620000000003,30
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCC3)CC2)c1)C1CCCO1,3.4766999999999992,70.67,0.7712701323938207,2.6060756847482764,-1.5964300718181201,399.5350000000003,29
CC(=O)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.707699999999999,61.440000000000005,0.8498335765709939,1.9387353356175065,-1.7182001230413186,357.4980000000003,26
N#Cc1ccc(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)nc1,4.26828,98.12,0.7034437210460663,2.292395372321195,-2.056493500979439,445.5670000000003,33
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1ccc(O)nn1,3.497200000000001,107.45,0.6410499396591604,2.359372660510079,-1.9442122517054843,437.54400000000027,32
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cnccn1,3.7916000000000007,87.22000000000001,0.7465781557134423,2.2034381076598777,-1.985138625387597,421.54500000000024,31
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)C1CCOC1,3.7242999999999995,70.67,0.7505743697153107,2.6419433623988073,-1.5053334656610928,413.56200000000035,30
CC(C)(C)C(=O)C1CCN(Cc2cccc(NC(=O)C3CC3)c2)CC1,3.8731999999999998,49.410000000000004,0.8837439238800477,2.0880519050729642,-1.6621875174358316,342.4830000000002,25
COc1cncc(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)c1,4.4052,83.56,0.6661391827750026,2.216192487705813,-1.7268803177169179,450.5830000000003,33
CCCNC(=O)C1CCN(Cc2cccc(NC(=O)C3CC3)c2)CC1,3.1750999999999996,61.440000000000005,0.8001745942278817,1.862851886230814,-1.9643290998859118,343.4710000000002,25
Cn1ccnc1C(=O)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.735099999999999,79.26,0.7469719739242128,2.307208318987012,-1.8469725385563964,423.5610000000003,31
O=C(Cn1ccnc1)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.5844999999999994,79.26,0.7169144696733459,2.261287642740184,-2.077379058643113,423.5610000000003,31
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1c[nH]cn1,3.7247000000000003,90.12,0.6826619508581492,2.411547459311617,-1.6126016861233932,409.5340000000002,30
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cnccn1,3.7916000000000007,87.22000000000001,0.7465781557134423,2.2034381076598777,-1.985138625387597,421.54500000000024,31
Cc1cnn(CC(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)c1,3.8929,79.26,0.6949942351359839,2.2810763825944473,-2.2650536784753843,437.5880000000003,32
Cn1nccc1C(=O)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.735099999999999,79.26,0.7469719739242128,2.261132934371627,-2.055556139529268,423.5610000000003,31
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cn[nH]c1,3.7247000000000003,90.12,0.6826619508581492,2.2792348718990283,-1.955554799721993,409.5340000000002,30
Cc1ccc(CNC(=O)C2CCN(Cc3cccc(NC(=O)Cc4ccccn4)c3)CC2)nn1,3.2914000000000003,100.11000000000001,0.5384696127417742,2.356218854660778,-2.1680987299338557,458.5660000000002,34
O=C(NC1CCCCC1)C1CCN(Cc2ccccc2)CC1,3.6763000000000003,32.34,0.9246298413050994,1.7187020554116081,-1.469456117784614,300.4460000000001,22
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1c[nH]cn1,3.7247000000000003,90.12,0.6826619508581492,2.411547459311617,-1.6126016861233932,409.5340000000002,30
Cc1nnc(S(=O)(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)o1,4.322299999999999,117.42999999999999,0.6509181865414585,2.5754343176467724,-1.7444381768527588,461.5880000000004,32
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cn[nH]c1,3.7247000000000003,90.12,0.6826619508581492,2.2792348718990283,-1.955554799721993,409.5340000000002,30
Cn1ccnc1C(=O)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,3.735099999999999,79.26,0.7469719739242128,2.307208318987012,-1.8469725385563964,423.5610000000003,31
Cn1cc(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)cn1,3.7351,79.26,0.746971973924213,2.218454472833166,-2.1911651481982677,423.56100000000026,31
CNC(=O)C1CCC(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)CC1,4.6311,90.54,0.5508222425921065,2.316072783276759,-1.4620371300751571,482.6690000000005,35
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cnccn1,3.7916000000000007,87.22000000000001,0.7465781557134423,2.2034381076598777,-1.985138625387597,421.54500000000024,31
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)C1CC1,4.097799999999999,61.440000000000005,0.7874151465854853,1.9956793395344583,-1.7282682737131247,383.5360000000003,28
CN1CCCC(CCC(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)C1,4.747700000000002,64.68,0.5932685337472952,2.745426820685033,-1.5681850945614322,468.6860000000005,34
O=C(CCc1cnc[nH]1)Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1,4.043699999999999,90.12,0.5881054883678692,2.31796681604569,-1.6842587181909998,437.58800000000036,32
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)C1CCCO1,3.8667999999999996,70.67,0.7492553876745155,2.62641049526594,-1.5548133854574828,413.56200000000035,30
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1cc(O)nc(Cl)n1,4.150600000000001,107.45,0.5536696473549737,2.477751328798929,-1.7029810399629846,471.9890000000003,33
Cc1cc(C(=O)Nc2cccc(CN3CCC(C(=O)NC4CCCCC4)CC3)c2)nn1C,4.043499999999999,79.26000000000002,0.7231655411168219,2.282996023332391,-2.138861265768853,437.5880000000003,32
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)C1CC1,4.097799999999999,61.440000000000005,0.7874151465854853,1.9956793395344583,-1.7282682737131247,383.5360000000003,28
O=C(NC1CCCCC1)C1CCN(Cc2cccc(NC(=O)C3CCOC3)c2)CC1,3.7242999999999995,70.67,0.7505743697153109,2.6419433623988073,-1.5053334656610928,413.5620000000003,30
