FILENUM	Canonical_SMILES
1	CC#C[C@@](C(=C(C)C)NC)(C(=C)C)C#CC(=O)OC(=C)/C(=N/*)/C#N
2	CC#C[C@@](C(=C(C)C)NC)(C(=C)C)C#CC(=O)OC(=C)/C(=N/*)/C#N
3	CC#C[C@@](C(=C(C)C)NC)(C(=C)C)C#CC(=O)OC(=C)/C(=N/*)/C#N
4	COC#C/C(=C(/OBr)\C)/[C@](C(=O)[C@](OC=O)(C#N)C)([C@@H](CC)C)OC(=O)C
5	CCC[C@@](/C(=C(\C(OOC)(C)C)/N(NC)C)/N=O)(COC(C)C)CC
6	CCC[C@@H](N(O/N=C(\C#N)/C)C#CO[C@@H](C=C(C#CC)C#CC)C)C
7	CC[C@@H](/C(=C(\C(=O)[C@]([C@@](/C(=C(/NO)\C)/N)(C#C/C=C(/CC)\O)C)(C#N)N=O)/C#CC#CC)/C(=O)C(=O)C)I
8	*/N=N/C=C(/OC(=O)C#CC#C[C@H](OC(CC)(C)C)O/C(=C(/C#C)\C=O)/Br)\F
9	COOC(=C=C([C@@]([C@@](CC)(Cl)N)(/N=C/CC)C=C)C)/C=N/*
10	COOC(=C=C([C@@]([C@@](CC)(Cl)N)(/N=C/CC)C=C)C)/C=N/*
11	C#CC/C(=C(\C(=O)CC(=C=CC)C=O)/C#CC(S)(C)C)/CC
12	CNC/C(=C(\[C@](N(ON(OC)O)OC#CC(=O)N=C)(CC)C)/C)/C(=C(/C(=O)C(=S)C)\N)/C
13	*/N=C/CC(=[P@H](N(C#CC#CC#CON([C@H](Cl)C)/C=N/*)NN)[PH4])Cl
14	C#CC/C(=C(\C(=O)CC(=C=CC)C=O)/C#CC(S)(C)C)/CC
15	CCC[C@@H](N(O/N=C(\C#N)/C)C#CO[C@@H](C=C(C#CC)C#CC)C)C
16	COO[P@](=N*)([C@@](N(O/C(=C(\Cl)/C)/O)N=O)(C(=O)C=C)C)/C(=C(/C#C)\C)/C
17	CCO[C@@](C(=O)C)(C#C[C@@](N(N=O)Cl)(C(=O)N)CC#CN)O/N=C/CC
18	*/N=C/OOC#C[P@@](=O)(N=C)C
19	C=C[C@@H](/C(=C(/ONC#CC=[PH3])\C#CC)/C=C/N=C/N)C#CC/N=N/CC
20	COCN=C(/N=C/C(C)C)C#N
21	COCN=C(/N=C/C(C)C)C#N
22	CC#CC#C/C(=N/*)/C#CC#N
23	NCCN([C@@](C(=O)C#CC#C/C(=C/C#C)/C(=C)C)(C#N)C=C)C
24	CC[C@@H](/C(=C(\C(=O)[C@]([C@@](/C(=C(/NO)\C)/N)(C#C/C=C(/CC)\O)C)(C#N)N=O)/C#CC#CC)/C(=O)C(=O)C)I
25	CC[C@@H](/C(=C(\C(=O)[C@]([C@@](/C(=C(/NO)\C)/N)(C#C/C=C(/CC)\O)C)(C#N)N=O)/C#CC#CC)/C(=O)C(=O)C)I
26	COC#C/C(=C(/OBr)\C)/[C@](C(=O)[C@](OC=O)(C#N)C)([C@@H](CC)C)OC(=O)C
27	COC#C/C(=C(/OBr)\C)/[C@](C(=O)[C@](OC=O)(C#N)C)([C@@H](CC)C)OC(=O)C
28	*/N=C(\C(=O)/C(=C(/C=C)\CC)/C(=C)C)/OC#CC(=O)O[C@@H]([C@H](O)C)C
29	*/N=N/C=C(/OC(=O)C#CC#C[C@H](OC(CC)(C)C)O/C(=C(/C#C)\C=O)/Br)\F
30	C=C[C@@H](/C(=C(/ONC#CC=[PH3])\C#CC)/C=C/N=C/N)C#CC/N=N/CC
31	C=C[C@@H](/C(=C(/ONC#CC=[PH3])\C#CC)/C=C/N=C/N)C#CC/N=N/CC
32	O=NC/C(=C\C#C)/N(C#CO[C@](C(CBr)(C)C)(C[C@H](O)C)C)OC
33	CCC[C@@](/C(=C(\C(OOC)(C)C)/N(NC)C)/N=O)(COC(C)C)CC
34	*/N=C/C/C(=C/[C@]([C@@](C(O)(O)C)(OC(=O)N=C)C)(C(=O)C)Cl)/C
35	OON([C@H](C#CC#CO[C@@]([C@H](/C(=C/Br)/C)C#CN)(C(=O)N)CCC(=O)C)C)C
36	OON([C@H](C#CC#CO[C@@]([C@H](/C(=C/Br)/C)C#CN)(C(=O)N)CCC(=O)C)C)C
37	OON([C@H](C#CC#CO[C@@]([C@H](/C(=C/Br)/C)C#CN)(C(=O)N)CCC(=O)C)C)C
38	OON([C@H](C#CC#CO[C@@]([C@H](/C(=C/Br)/C)C#CN)(C(=O)N)CCC(=O)C)C)C
39	OON([C@H](C#CC#CO[C@@]([C@H](/C(=C/Br)/C)C#CN)(C(=O)N)CCC(=O)C)C)C
40	CCC#CC#C[C@](C(=C)N(CC)CC)(C#N)N=C
1	*/N=C(\C(=O)/C(=C(/C=C)\CC)/C(=C)C)/OC#CC(=O)O[C@@H]([C@H](O)C)C
2	CC#C[C@@](C(=C(C)C)NC)(C(=C)C)C#CC(=O)OC(=C)/C(=N/*)/C#N
3	COCN=C(/N=C/C(C)C)C#N
4	COC[C@H]([C@@](C(=O)[C@](OC=O)(C#N)C)(/C(=C(\OBr)/C)/C#COC)OC(=O)C)C
5	COO[P@](=N*)([C@@](N(N(NC)C)N=O)(C(=O)C=C)C)/C(=C(/C#C)\C)/C
6	O=NC/C(=C\C#C)/N(C#CO[C@](C(CBr)(C)C)(CC)C)OC
7	CC#C[C@@](C(=C(C)C)NC)(C(=C)C)C#CC(=O)OC(=C)/C(=N/*)/C#N
8	COOC(=C=C([C@@]([C@@](CC)(Cl)N)(/N=C/CC)C=C)C)/C=N/*
9	CCC[C@@H](N(O/N=C(\C#N)/C)C#CO[C@@H](/C=C(\C#CC)/[PH4])C)C
