FILENUM	Canonical_SMILES
1	CCC#C[C@H](C#CC#CCCC#CC)C
2	CCC#C[C@@](C(N)(C)C)(/N=C/N=O)ONC
3	C=C[C@H](COC#CC#COC)CC/C=C(/CC#N)\CC
4	CCNC(=O)[C@]([C@H](C#CO)C)(CC#C)O
5	I[C@H](N(Br)N)OC(C#CI)(C)C
6	C=C[C@H](CC[C@H](C(=C)C=C)CC)C
7	ClC(=O)Cl
8	*N=O
9	OCCN([C@@](CO)(CC)C)C#CC(=C)C
10	O=NN([C@@H](O[C@](C#C)(NC)C)O)C#CN
11	CCNC(=O)[C@]([C@H](C#CO)C)(CC#C)O
12	CNC[C@@H]([C@H]([C@@](C#CO)(CC)C)C)N=O
13	CC[C@@H](C(=C)/C(=C/O)/C)CC[C@@H](C=C)C
14	*N=C=C([C@](C(=O)CO)(O)C)[C@@H](/C=C/C)N
15	C[C@@H]([C@H](OCC#C/C(=C/C)/C(=O)O)N)CCl
16	C=CC[C@@H](/C(=C\C)/OC#CC(=C)C)CC
17	CC#C[C@](/C(=N/*)/N=O)(OC(=C)N(C)C)NC
18	CC(=N/C=C(/C(=O)C)\C)C
19	CCC#C[C@H](C#CC#CCCC#CC)C
20	C=POOC(=C[C@H](C(=O)OC#C)CC)CC#CC
21	C=CC[C@@H](/C(=C\C)/C#CO/C(=N/*)/C(=O)N(C#N)C)CC
22	CC#CC/C(=N/*)/C#CC/N=C(/C=O)\C
23	CCCNO/C(=C(/[C@@](C(=O)O)(O)C)\[C@@H](/C(=N/*)/C)C)/O
24	Cl[C@H]([C@](C(=O)N(Br)Cl)(C(C)C)I)CC#C
25	*/N=C(/[C@@](OC(=C)N(C)C)(NC)C)\N=O
26	*/N=N/OOOBr
27	OCCN([C@@](N=O)(CC)C)C#CC(=C)C
28	OC[C@H](C(=O)[C@@H](N(O)C)CC)N(C=O)C
29	ClC[C@H]([C@H](OCC#C/C(=C/C)/C)N)C
30	*/N=C(\Br)/Cl
31	OCN[C@@](C(=C[C@H](C=O)C)OC)(OC)O
32	CC(OC#CC(=C)C)C
33	C#CC#N
34	ICN([C@@](CO)(CC)C)C#CC(=C)C
35	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
36	C/C(=C(\ONCCC)/O)/[C@@](N=O)(O)C
37	C#CCOC(=N*)[C@@](C#CCC)(N=O)N
38	OCO[C@](C(=O)OC#CC)(C#C)C
39	OCN([C@@H](O[C@](C#C)(NC)C)O)C#CN
40	C#COC(=O)[C@H](OC(C#CI)(C)C)CC
1	CC(=N/C=C(/C(=O)C)\C)C
2	OCCN([C@@](CO)(CC)Cl)C#CC(=C)C
3	*/N=C(/[C@@](OC(=C)N(C)C)(NC)C)\N=O
4	CC[C@@H]([C@H](OCC#C/C(=C/C)/C)N)CCl
5	C/C=C(/C#CCC#C/C(=C/C)/C)\C
6	O=NN([C@@H](N(Br)N)O)C#CN
7	CCNC(=O)/C(=C\N=C(C)C)/C(=O)C
8	O=NNC(=O)[C@]([C@H](C#CO)C)(CC#C)O
9	N#CC1=CC#CC/C(=N/*)/C#CCN=C(C=C1CC)C
10	CCC/C(=C\[C@H](C=O)C)/OC
11	CC(=O)Cl
12	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
13	CCCC#C[C@H](C#CC#CCCC#CC)C
14	*N=C
15	ClC[C@H]([C@H](OCC#C/C(=C/C)/C)N)C
16	C#CC[C@@H](C[C@@H](C(=O)[C@H](N(C=O)C)CO)N(O)C)Cl
17	CC(OC#CC(=C)C)C
18	O=CO[C@](/C(=N/*)/N=O)(NC)C
19	OCCN([C@]([C@H](CC#C)Cl)(N=O)C)C#CC(=C)C
20	CC(=N/C=C(/C(=O)C)\C)C
21	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
22	O=C[C@H](COC#CC#COC)CC/C=C(/CC#N)\CC
23	IC#CC(O[C@@H](O[C@](C#C)(NC)C)I)(C)C
24	C#CC[C@@]([C@H](C#CO)C)(O)C
25	OCCN(C(CC)(CC)C)C#CC(=C)C
26	CC(OC#CC(=C)C)C
27	O=CCC[C@H](/C(=C/O)/C)CC#C
28	C=CC[C@@H](/C(=C\C)/OC#CC(=C)C)CC
29	C/C(=C(\ONCCC)/O)/[C@@](N=O)(O)C
30	CC([C@](C(=O)N(Br)Cl)(I)C)C
31	ClC[C@H]([C@H](OCO[C@@H]([C@@H](CCl)C)N)N)C
32	OCN[C@@](NOC(=C([C@@](N=O)(O)C)C)O)(OC)O
33	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
34	CC#CC/C(=N/*)/C#CC/N=C(/C=O)\C
35	C#CCOC(=N*)[C@@](C#CCC)(N=O)N
36	OCCN(C(CO)(C)C)C#CC(=C)C
37	CC[C@](C(=O)N(Br)Cl)(C(C)C)I
38	OCN[C@@](C(=C[C@H](C(=C)N(C)C)C)OC)(OC)O
39	C#CC[C@](C(=O)NC)([C@H](C#CO)C)O
40	C[C@@H]([C@H](OCC#C/C(=C/C)/C(=O)O)N)CCl
1	C/C=C(/C#CCO[C@H](N)C)\C
2	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
3	OCCN(C(CO)(C)C)C
4	CC#CCO
5	C#CC[C@@H](/C(=C/O)/C)CC/C=C(/CC#N)\CC
6	CC[C@](C(=O)N(Br)Cl)(C(C)C)I
7	C#CC[C@@]([C@H](C#CO)C)(O)C
8	CCCC#C[C@H](C[C@@H](/C(=C/O)/C)CC/C=C(\CC#N)/CC)C
9	CC(=N/C=C(/C(=O)C)\C)C
10	O=CCC[C@H](/C(=C/O)/C)N(Br)Cl
11	OCCN([C@](CC#CC(=C)C)(CO)Cl)C#CC(=C)C
12	C#CCC(=C[C@H](C=O)C)OC
13	CC#CCCC#CC#CC#C
14	N#CC/C(=C/CC[C@H](/C(=C/O)/C)[C@H](C#CO)C)/CC
15	O/C=C(/[C@H](CC#C)CNC(=O)/C(=C\N=C(C)C)/C(=O)C)\C
16	CC([C@](C(=O)N(Br)Cl)(I)C)C
17	*/N=C(/[C@@](OC(=C)N(C)C)(NC)C)\N=O
18	CCC/C=C(/CC#N)\CC
19	NO
20	C[C@](N(C#CC(=C)C)CCO)(N=O)I
21	CC(=N/C=C(/C(=O)C)\C)C
22	OCCN(C(C/C(=N/*)/C#CC/N=C(/C=C(/CC#N)\CC)\C)(C)C)C#CC(=C)C
23	CCC[C@@H](CC/C=C(/CC#N)\CC)COC#CC#COC
24	OCN[C@@](C(=C[C@H](C(=C)/C(=C/C)/C)C)OC)(OC)O
25	N#CC/C(=C/CC[C@H](/C(=C/O)/C)O)/CC
26	CC(=N/C=C(/C(=O)C)\C)C
27	O=CCC[C@H](/C(=C/O)/C)CC#C
28	CC#CC/C(=N/*)/C#CC/N=C(/C=O)\C
29	O=NNC(=O)C(CC#C)(CC#C)O
30	CC([C@](C(=O)CC#C)(I)C)C
31	CC[C@](C(=O)N(Br)Cl)(C(C)C)I
32	C#CC[C@@]([C@H](C#CO)C)(O)C
33	O=CNOC(=C([C@@](N=O)(O)C)C)O
34	O=NNC(=O)[C@]([C@H]([C@@H](CCl)C)OCO[C@@H]([C@@H](CCl)C)N)([C@H](C#CO)C)CC#C
35	CCNC(=O)/C(=C\N=C(C)C)/C(=O)[C@@H](CCl)CC
