FILENUM	Canonical_SMILES
1	CO[C@@H](N(C#CC/C(=N/*)/C#CC)O)C
2	CO[C@@H](/C(=N\N=C(\[C@](C(=C)C(=C)/C(=N/*)/CN)(O)C)/C)/C)I
3	N/C=C/C(=C(/[C@](N(C(=C(C)C)C#CC=O)C)(N)C)\F)/O
4	OC#CC(=O)OOC#CC#CC#CC#C
5	CC(=P)CC#COC(=C)C
6	O=NC[C@H](C#CC(=O)C#CO)C#CCC
7	C=C/C=N/C(=C(OC)C)[C@](OO)(NC)C
8	CC(=C)N(C#CO)N
9	FC/C(=C(\O)/C)/[C@@H](C(C)C)C
10	CCN(N(OCCC#CCC(=O)C)C)O
11	CON(C(=O)C#CC(=S)C)[C@H](O[C@](C#C)(N)C)F
12	CC#CC[C@@]([C@@](C[PH4])(O)C)(C(=C)O)CCl
13	*/N=C(\C#CCC=O)/CC(=O)C(=C)C(=O)NC
14	NCC[C@]([C@H](/C(=C\C#CC)/CC)C)(F)C
15	*/N=C(\ON(C(=C)C(=C)OC#C)C)/C
16	OC[C@@H]([C@@]([C@](C(=C)CC)(C#COOC#CN)N)(Cl)C)C
17	CC#CO[C@](/C(=C(/CC)\C)/C)([P@@H](=O)C)C=O
18	*/N=C(/[C@@](C#N)(F)C)\C(=C(\C#C)/C=O)\CC
19	*/N=C(\[C@@](N=[PH2]C(=O)C)(OC)O)/C#N
20	CCOC#CC(=O)C(=O)OC#CN=[PH2]C
21	CCOC#C[C@](NC)(Br)C
22	COC(O[C@@]([C@@H](C(C)(C)C)C)(N)C)(C)C
23	COC(=O)[C@@]([C@](C#C)(NC)N)(OO)F
24	CO[C@H](C#C)ON
25	*/N=C(/[C@]([C@H](C#C)/N=N/*)(C=C)NC)\OC#COC=O
26	C#CON(OC)NC
27	O=COC([C@@H](N=O)C)(C#C)C#C
28	C=NON(/C(=C/C)/C(=C)C)[C@H](C#CC)CN
29	[PH4]CCC[C@H](C(=C=C(N)C)[C@@H](O)C)/C(=C\O)/C#N
30	CCC#C/C(=C(/[C@@H](Br)O)\C)/C#N
31	CC#C[P@@](=C)(/C(=C/N)/CN)C(C)C
32	CO[C@@](C[C@H](C(C)C)N)(N=[PH2]C(=O)C)O
33	CCOOCC#CC
34	CNON(C(=O)CC)CC(=O)O/N=C/C
35	CC[C@@H](OC(=O)[C@@](O/C(=N/*)/N)(C#CC=O)N=O)C
36	O=NCN(C#COOC#COOC)CC
37	NN[C@@H]([C@H](/N=N/*)NC#N)N(C#C)O
38	ClC#CC(=O)C=O
39	C=NN[C@@H]([C@](C#CC)(C#N)O)C(=O)OC
40	C=CO/C(=N\C#CC#C[C@@H](/C=C/C)O)/C
1	CO[C@@H](N(C#CC/C(=N/*)/C#CC)O)C
2	*/N=C(/C(=C)C(=C)[C@@](/C(=N/N=C(\O)/C)/C)(O)C)\CN
3	N/C=C/C(=C(/[C@](N(/C(=C(/CC)\C)/C#CC=O)C)(N)C)\F)/O
4	OC#CC(=O)OOC#CC#CC#CC#C
5	CC(=P)CC#COC(=C)C
6	O=NC[C@H](C#CC(=O)C#CO)C#CC
7	C=C/C=N/C(=C(OC)C)[C@](OC#N)(NC)C
8	CC(=C)C#C
9	CN[C@@](C1=C(CF)[C@@H]([C@H](CC1)C)C)(Br)C
10	NCCN(N(CC)O)C
11	CON(C(=O)C#C/N=C(\OC=C)/C)[C@H](O[C@](C#C)(N)C)F
12	C#COC[C@@]([C@@](C[PH4])(O)C)(C(=C)O)CCl
13	*/N=C(\C#CCC=O)/CC(=O)C#CC
14	CC#C/C=C(\[C@@H]([C@](OCCC#CCC(=O)C)(F)C)C)/CC
15	*/N=C(\ON(C(=C)C(=C)C#CC)C)/C
16	OC[C@@H]([C@@]([C@](C(=C)CC)(C#COOC#CN)N)(Cl)C)C
17	NCC#CO[C@](/C(=C(\CC)/C)/C)([P@@H](=O)C)C=O
18	*/N=C(/[C@](C(=C)C)(C#N)C)\C(=C(\C#C)/C=O)\CC
19	*/N=C(\[C@@](N=[PH2]C(=O)C)(OC)O)/C#N
20	CCOC#CC(=O)C(=O)OC=O
21	CCOC#CO
22	NOC(O[C@@]([C@@H](C(C)(C)C)C)(N)C)(C)C
23	COC(=O)[C@@]([C@](C#C)(NC)N)(OO)F
24	COC(C#C)OC
25	C#C[C@@H]([C@@](/C(=N/*)/OC#CCC)(C=C)NC)/N=N/*
26	C#CON(OC)NC
27	O=CO[C@@](N(C#CO)N)([C@@H](N=O)C)C#C
28	C=NON(/C(=C/C)/F)[C@H](C#CC)CN
29	[PH4]CCC[C@H](C(=C=C(N)C)[C@@H](O)C)/C(=C\[C@H](OC)I)/C#N
30	C/C(=C(\C#CCC)/O)/[C@@H](Br)O
31	CC#C[P@@](=C)(/C(=C/N)/C)C(C)C
32	*/N=C(/OC(=O)[PH2]=N[C@](C[C@H](C(C)C)N)(OC)O)\N
33	CCOOCC#CC
34	CNON(C(=O)OC=O)CC(=O)O/N=C/C
35	C[C@](C(=O)O[C@H](CC)C)(C#CC=O)N=O
36	CCN(C#COOC#COOC)[C@@H](N(C#C)O)NN
37	O=NC[C@H](/N=N/*)NC#N
38	C[PH2]=NC#CC(=O)C#CCl
39	C=NN[C@@H]([C@](C(=C)C(=O)NC)(C#N)O)C(=O)OC
40	C/C=C/[C@H](C#CC#CC(=S)C)O
1	CO[C@@H](N(C#CC#CC#C)C#CC/C(=N/*)/C#CC)C
2	CC#CCO/C(=N/N=C(\O)/C)/C
3	N/C=C/C(=C(/[C@](N(/C(=C(/CC)\C)/C#CC=O)C)(N)C)\F)/O
4	OC#COOC(=O)C#CO
5	CC#COC(=C)C
6	O=NC[C@H](C#CC(=O)C#CO)C#CC
7	C=C/C=N/C(=C(OC)C)[C@](OC#N)(OC)C
8	CC(=C)C#C
9	CN[C@@](C1=C(CF)[C@@H]([C@H](CC1)C)C)(Br)C
10	CCN(N(CCC(=O)C#CC)C)O
11	CON(C(=O)C#C/N=C(\OC=C)/C)[C@H](O[C@](C#C)(N)C)F
12	C#COC[C@@]([C@@](C[PH4])(O)C)(C(=C)O)CCl
13	O=CCC#C/C(=N\*)/CN
14	CC#C/C=C(\[C@@H]([C@](OCCC#CCC(=O)C)(F)C)C)/CC
15	*/N=C(\OC(=O)OC=O)/C
16	OC[C@@H]([C@@]([C@](C(=C)CC)(C#C/C(=C(\CC)/C)/C)N)(Cl)C)C
17	NCC#CO[C@@]([P@@H](=O)C)(OOC#CN)C=O
18	*/N=C(/[C@](C(=C)C)(C#N)C)\O
19	*/N=C(\[C@@](N=[PH2]C(=O)C)(ON)O)/C#N
20	CCOC#CC(=O)C(=O)OC=O
21	CCOC(=O)C#CN=[PH2]C
22	[PH4]CCC[C@@H]([C@@H]([C@](OC(ON)(C)C)(N)C)C(C)(C)C)C(=C=C(N)C)[C@@H](O)C
23	CN[C@]([C@](OO)(F)C)(C#C)N
24	*/N=N/[C@H](C#C)OC
25	CO[C@H]([C@@](/C(=N/*)/OC#CCC)(C=C)NC)C#C
26	C#CON(NC(=O)OC)OC
27	O=CO[C@@](N(C#CO)N)([C@@H](N=O)C)C#C
28	C=NON(/C(=C/C)/F)[C@H](C#CC)CC
29	C/C(=C\[C@H](OC)I)/C#N
30	C/C(=C(\C#CCC)/O)/[C@@H](Br)O
31	CC([P@](=C)(/C(=C/N=C)/C)C#CC)C
32	*/N=C(/OC(=O)[PH2]=N[C@](C[C@H](C(C)C)N)(OC)O)\N
33	CCO[C@](C(=C)C(=C)/C(=N/*)/CN)(O)C
34	CNON(C(=O)OC=O)CC(=O)O/N=C/C
35	C[C@](C(=O)O[C@H](CN)C)(C#CC=O)N=O
36	COOC#COOC#CN([C@@H](N(C#C)O)NN)CCC(=P)C
37	O=NC[C@H](/N=N/*)NC#N
38	OC#CC#CCl
39	C=NN[C@@H]([C@](C(=C)C(=O)NC)(C#N)O)C(=O)NC
40	C/C=C/[C@H](C#CC#CC(=S)C)O
1	C=NN/N=C(\C#CC)/CC#CN([C@H](OC)C)C#CC#CC#C
2	C/C(=N/N=C(/O)\C)/O
3	N/C=C/C(=C(\[C@](N(/C(=C(/[C@](NC)(Br)C)\C)/C#CC=O)C)(N)C)/F)/O
4	OC#COOC(=O)C#CO
5	CC#COC=O
6	CC#CCOC#CC(=O)C#C[C@H](C#CC)CN=O
7	C=C/C=N/C(=C(OC)C)[C@](OF)(OC)C
8	CC#CC(=C)C
9	FCC1=C(CC)CC[C@@H]([C@H]1C)C
10	CN(N(CC)O)CCC(=O)C#CC#CO
11	CON(C(=O)C#C/N=C(\OC=C)/C)[C@H](O[C@](C#C)(N)C)F
12	C#COC[C@@](C(O)(C)C)(C(=C)O)CCl
13	*/N=C(\C#CC)/CN
14	CC#C/C=C(\[C@H]([C@@](OCCC#CCC(=O)C)(CC)F)C)/CC
15	*/N=C(\OC(=O)OC)/C
16	OC[C@@H]([C@@]([C@](C(=C)CC)(C#C/C(=C(\CC)/C)/C)N)(Cl)C)C
17	NO[C@@]([P@@H](=O)C)(N=[PH2]C(=O)C)O
18	O=CC#CC(=C)[C@@](/C(=N/*)/O)(C#N)C
19	NCC#CO[C@@](/C(=N\*)/C#N)(OOC#CN)C=O
20	CCOC#CC(=O)C(=O)OC=O
21	C/C=N/C#CC(=O)OC
22	[PH4]CCC[C@@H]([C@@H]([C@](OC(ON)(C)C)(N)C)C(C)(C)C)C(=C=C(N)C)[C@H](C(=C)/C(=N/*)/CN)O
23	CN[C@@]([C@@](C#N)(OO)C)(C#C)N
24	*/N=N/[C@H](C=O)OC
25	*/N=C(/[C@]([C@H](C#C)N=O)(C=C)NC)\OC#CCC
26	O=COC(=O)NN(OC#C)OC
27	C#CO[C@@](N(C#CO)N)([C@@H](N=O)C)C#C
28	C=NON(/C(=C/C)/F)[C@H](C#C)CC
29	C/C(=C\[C@H](OC)I)/C#N
30	O=COC(=O)C(=O)C#C/C(=C(/C#CCC)\O)/C
31	C/C(=C\N=C)/[P@](=C)(C#CC)[C@@H](C[PH4])C
32	O=CCO[C@@](C[C@H](C(C)C)N)(N=[PH2]C(=O)O/C(=N/*)/N)O
33	CCO[C@](C(=C)C)(O)C
34	CNON(C(=O)OC(=C)C)CC(=O)O/N=C/C
35	C[C@](C(=O)O[C@H](CN)C)(C#CC=O)N=O
36	COOC#COOC#CN([C@@H](N(C#C)O)NN)CCC(=P)C
37	*/N=N/[C@H](NC#N)COC
38	CC#CCl
39	CNC(=O)C[C@](C(=C)C(=O)NC)(C#N)O
40	C/C=C/[C@H](C#CC#CC(=S)C)O
1	CO[C@@H](N(C#CC)C#CC#CC#C)C
2	C/C(=N/N=C(/O)\C)/O
3	N/C=C/C(=C(\[C@](N(/C(=C(/[C@](NC)(Br)C)\C)/C#CC=O)C)(N)C)/F)/O
4	OC#CC#CC#COOC(=O)C#CO
5	CC#COC=O
6	O=NC[C@H](C#CC(=O)C=O)C#CC
7	C=C/C=N/C(=C(OC)C)[C@](OF)(OC)C
8	CC#CC(=C)C
9	FC/C(=C(\CC)/C)/[C@@H](C(=O)NC)C
10	CN(N(CC)O)CCC(=O)O
11	CON(C(=O)C#C/N=C(\OC=C)/C)[C@H](O[C@](C#C)(N)C)F
12	NC[C@@H](O[C@@](C(O)(C)C)(C(=C)O)CCl)C
13	*/N=C(\C#N)/CN
14	CC#C/C=C(\[C@H]([C@@](C(=O)OC)(OCCC#CCC(=O)C)F)C)/CC
15	*/N=C(\OCC)/C
16	O=COC(=O)C(=O)[C@@H]([C@@]([C@](C(=C)CC)(C#C/C(=C(\CC)/C)/C)N)(Cl)C)C
17	NO[C@@]([P@@H](=O)C)(N=[PH2]C(=O)C)O
18	O=CC#CC(=C)[C@@](/C(=N/*)/C#C)(C#N)C
19	NCC#CO[C@@](/C(=N\*)/C#N)(OOC#CN)C=O
20	O=COC(=O)C(=O)C#COCC#CN([C@@H](N(C#C)O)NN)CCC(=P)C
21	COC
22	[PH4]CCC[C@@H]([C@@H]([C@](OC(ON)(C)C)(N)C)C(C)(C)C)C(=C=C(N)C)[C@H](C(=C)/C(=N/*)/CN)O
23	CC#C[C@]([C@@](C#C)(NC)N)(OO)C
24	C=NN/N=C(\C#CC)/CO[C@H](/N=N/*)C=O
25	O=N[C@H]([C@@](/C(=N/*)/OC#CCC)(C=C)NC)C
26	C=NOC(=O)NN(OC#C)OC
27	C#CO[C@@](N(C#CO)N)([C@@H](N=O)C)O
28	CN(/C(=C/C)/F)ON=C
29	CO[C@@H](/C=C(/C#N)\C#C)I
30	CCC#C/C(=C(/C#CCO)\C)/O
31	C/C(=C\C=O)/[P@](=C)(C#CC)[C@@H](C[PH4])C
