FILENUM	Canonical_SMILES
1	CCC#C/C(=C(/[C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)\C(=O)C#C)/C
2	CC#COC[C@](C[PH3][C@@](/C(=C(/C(=N/*)/C)\O)/C#C)(/C(=N/*)/C)C)(O)C
3	O=CO/C(=N\C#C/C(=C(\C(=C(/OC#C)\C)\N)/CO)/NC)/C
4	O=C[C@@H](/C=C(/[C@@](C(=O)N=C(/C(=N/*)/C(=C)N)[C@@H](C#C)N)(OC)C)\C)C
5	CCC[C@](N(N([C@](N=O)(CC)C)OOC(=C)CC)O[C@@H](/C(=N/*)/C=C)O)(OC)Br
6	CCC[C@](N(N([C@](N=O)(CC)C)OOC(=C)CC)O[C@@H](/C(=N/*)/C=C)O)(OC)Br
7	C#CO[C@]([C@]([C@@](C=C)(OC)CC)(C(=O)C)C#N)([C@]([C@H](O)C)(C=C)C)C(=O)C(=C)CC
8	C#CO[C@]([C@]([C@@](C=C)(OC)CC)(C(=O)C)C#N)([C@]([C@H](O)C)(C=C)C)C(=O)C(=C)CC
9	C=NC/C=C(/C(=C(\[C@](C(=O)C)(Br)C)/C(=C)/C(=C\C)/[C@]([C@H](O)C)(C=C)C)/C#N)\C
10	C/C=N/[C@H](/C(=C(/C(=C/[PH2](C(=C)C)C#CC)/C#CC)\C#CN=O)/N=O)C#C
11	*/N=C(\C#C/C(=C(\O)/C)/O)/OOC#N
12	C=N/C=N/ON([C@@](/C(=N/*)/N)(C#C[C@@H](CO)C)OF)O
13	C=NN/C(=C(\OCOC#CN(O)C)/C#N)/O
14	C=NO[C@@](N(/C(=C(/C#CO)\C)/C#CBr)N=O)(OC#CC(=O)C#N)CC
15	O=CO[C@](O/C(=C(/CC#C)\C)/[C@@H]([C@@H]([C@H](C=C)C)C)C)(CC)N
16	O=CCN(/C(=C/C)/[C@]([C@](N=C)(CO)C)([C@H](C=C)ON)C#C/C=C/C)O
17	C=C[C@H]([C@H]([C@H]([C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)C)C)C
18	CC#COC[C@](C[PH3][C@@](/C(=C(/C(=N/*)/C)\O)/C#C)(/C(=N/*)/C)C)(O)C
19	OCCC(=[P@H]([C@]([C@H](COC#CN(O)C)CO)(OC)CC)C)C
20	C=C[C@H]([C@H]([C@H]([C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)C)C)C
21	O=CCN(/C(=C/C)/[C@]([C@](N=C)(CO)C)([C@H](C=C)ON)C#C/C=C/C)O
22	CCC[C@](N(N([C@](N=O)(CC)C)OOC(=C)CC)O[C@@H](/C(=N/*)/C=C)O)(OC)Br
23	CCC[C@](N(N([C@](N=O)(CC)C)OOC(=C)CC)O[C@@H](/C(=N/*)/C=C)O)(OC)Br
24	C#C/C=C(/C(=C(/[PH2]=C(/C(=N\*)/N=C=O)CC#CCC)\O)/C#N)\C(=O)C
25	C#COOO[C@]([C@@](C(=O)O)(C(C)C)CC)([C@H](NO)CC)N=O
26	C/C=N/[C@H](/C(=C(/C(=C/[PH2](C(=C)C)C#CC)/C#CC)\C#CN=O)/N=O)C#C
27	CCCC[C@](/C(=N/*)/O/C(=C/C)/C#N)(C#CC(=O)OC#C)C#CC=C
28	CCCC[C@](/C(=N/*)/O/C(=C/C)/C#N)(C#CC(=O)OC#C)C#CC=C
29	ONCC[C@@](/C(=N/*)/C(=C)OC#C)(/C(=C/C#N)/C)OCN(OC#C)O
30	C#C/C=C(/C(=C(/[PH2]=C(/C(=N\*)/N=C=O)CC#CCC)\O)/C#N)\C(=O)C
31	CCCC[C@](/C(=N/*)/O/C(=C/C)/C#N)(C#CC(=O)OC#C)C#CC=C
32	O=CO[C@](O/C(=C(/CC#C)\C)/[C@@H]([C@@H]([C@H](C=C)C)C)C)(CC)N
33	O=CO[C@](O/C(=C(/CC#C)\C)/[C@@H]([C@@H]([C@H](C=C)C)C)C)(CC)N
34	C#CO[C@]([C@@](C(=O)O)(C(C)C)CC)([C@H](NO)CC)N=O
35	CCC#C/C(=C(/[C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)\C(=O)C#C)/C
36	O=C[C@@H](/C=C(/[C@@](C(=O)N=C([C@H](C(=C)CC)C#C)/C(=N/*)/C(=C)N)(OO)C)\C)C
37	NOC[C@@H](/C(=C(\[C@@]([C@@](C(=O)N)(N)C)(C(C=C)(C)C)ON=O)/N)/CC)C
38	C=C[C@H]([C@H]([C@H]([C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)C)C)C
39	C=C[C@H]([C@H]([C@H]([C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)C)C)C
40	OCCC(=[P@H]([C@]([C@H](COC#CN(O)C)CO)(OC)CC)C)C
1	C/C=N/[C@H](/C(=C(/C(=C/[PH2](C(=C)C)C#CC)/C#CC)\C#CN=O)/N=O)C#C
