FILENUM	Canonical_SMILES
1	C#CCC(=C(C(=C)C(=O)C)C#CC)N=C
2	NC(=C)CC#CO
3	CC#C[C@H](CCOC(=C)/C(=C(/I)\C)/N)C
4	*/N=C/[C@H](/C(=C/C)/C=C)N(C#CC)CC
5	COC#CCC(=O)[C@](C(C)C)(C#N)CN
6	*/N=N/N/C(=C(/CC)\C)/C(=C\C=N\*)/C
7	NO[C@H](C(=C)C(=O)[C@]([C@@H](C#C)Cl)(O)C)C
8	CON
9	CO[C@H](C(=C)C(=O)[C@]([C@@H](C#C)Cl)(O)C)C
10	*/N=N/N/C(=C(/CC)\C)/C(=C\C=N\*)/C
11	C/C=C(/C#C[C@@](C(=O)C=O)(CC)C)\C#C
12	NN[C@@H]([C@](C[C@@]([C@H]([C@H](O)C)CC)(/N=C/C(=O)O)NO)(C#C)CC)C#CCO
13	O=CO[C@@H](/N=C(/C#CCCC(=[P@H](CO)O)C(=C)N=O)\OO)C=C
14	COC(C#C)(C)C
15	C[P@@H](=C(C(=C)N=O)C#CCC(=C)N)O
16	O=NN=[P@@](P(=N*)CC)([C@@H](CC)C)N=O
17	*/N=C(/C#C[PH2]=C)\N=C(\CO/C=C/C)/C
18	C[C@@H](C#C)Cl
19	COO[C@H]([C@H](C(=O)O/C(=C/C)/C)C=C)C
20	CC#CC/C(=N/C(=O)O[C@H](C#CN)O)/C
21	COC#CC(=O)[C@@](C#CC)(C#C)C=O
22	COC#CCC(=O)[C@](C(C)C)(C#N)CC
23	NOC[C@@]([C@@H](N=[P@@](P(=N*)CC)([C@@H](CC)C)N=O)NN)(C#C)CC
24	C=NOC#CN(OC(C=C)C=C)COC#N
25	CC/C(=C(/C(=C/C)/CO)\C(=O)C)/C(=N/*)/Cl
26	CCCC#CC(=C)C#C[C@@](C#C)(OC)N
27	C#CN(/C(=C(\C(=C\C)\O)/C)/OCl)/C(=C(/CC#CC)\C)/O
28	CC#CC(=O)C(=C)/C(=C(/CC)\C)/OC
29	CCC(=C)OC#CF
30	BrO[C@@H](O[C@](/C(=C/N)/[C@H](N)C)(C#C)C)O
31	CC[C@@H](/C(=N/*)/CC)C[C@@H](/C(=N/*)/CC)CC(=C)OC#CF
32	*N=[PH2]OC(=O)F
