FILENUM	Canonical_SMILES
1	*/N=N/[C@](C(=C)N(C)C)(OC#N)C#CC(=O)F
2	COOC(=O)/C(=N\*)/C#CC(=O)C(=O)C
3	FCC/C(=N\*)/ON(NN(C#CC#CC#COO)S)ON
4	ICC[C@@](C(C)C)(O/N=C/C#C)C#C
5	COBr
6	O/C=C(/C(=O)[C@@](OC)(CF)C)\CC(=C)C
7	C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C
8	CC[C@@](C(=O)C(C)C)(/C=N/*)C
9	/[PH0@@](=C/(/[CH3])([CH2](O)))(/[CH0@@](N(O))([CH3])(N))([CH2](/C(=N/(*))))(C)
10	CC[C@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CCl
11	C/C=C(/C=C/COC(C#CC#C)(C)C)\C
12	CC#CO[C@](/C(=C/O)/C)(C(=C)C)/C=C/[C@@](C#C)(CN)C
13	COOC#COOC#C
14	C#CCOOC(=C)[C@@](N([C@@H](OC)N)/C=C(\C=C\C)/CC)(C#CC#CN)Cl
15	CC(=C)C(=O)C#C
16	COP(=C([C@](N=O)(N)C)OC)N(CC)N
17	CC[C@@H](C(=C)/C(=C/C/C=C(\C(=O)SC)/C)/C)C
18	CC(O)C
19	ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C
20	CO[C@@H](/C(=N\C(=C(/C(=O)OC)\C)\C#CC(=C)C=C)/CC#C/N=C(/OC)\C)Cl
21	C[C@H](COC#CC#C)N
22	N#COO/C(=C(/C(=C\C)/C(=O)C)\N(CC)N)/N
23	C=CCO[C@@H]([C@](OC(=C=C)CSC#C)(P=C)O)O[C@H](OC)CC
24	NCC(=C)C#CN(C)C
25	C=CN(C#C/C(=C(\N=C)/CC)/Br)C
26	O=COC(O[C@](N(CN)O)(NBr)C)(C)C
27	Br/C=N/OOOON(OC(=O)C)C#CC
28	CN([C@@](/C(=C/C#C)/N)(C#C)N=C)CNN
29	C=O
30	CC#C[C@H]([C@@]([C@](N([C@@H](C#N)C)C#C)(C(=C)C)O)(C#N)O)O
31	CC#C/C(=C\C)/C(=O)COC(=O)CCC(=C)O
32	CCC#CC(=O)[C@@](C(=O)OCC)(N=O)F
33	C/C=N/C#C[C@@H](C#CC#N)C#COC(C)C
34	CN=O
35	CCC(=O)[C@]([C@@H](C(=C(C)C)N)C)(C(=C)C#C)CC
36	FC#CC#CO/C(=C/C)/[C@@](C#C)(CN)C
37	O=CCC(OOO[C@](C(=C)C#N)(OC(=O)C)C)(C)C
38	C#CC(=C)C/C(=C(/C(=C)ON)\O)/CN(N)C
39	COC(=O)[C@](C(=C)O)([C@H](N)C)CC
40	OOOC(/C(=C(\C#CC=O)/CO)/C)(C)C
1	N#CO[C@](C(=C)N(C=C)C)(C#CC(=O)F)/N=N/*
2	COOC(=O)/C(=N/*)/C#CC(=O)C(=O)C
3	*/N=C/[C@](C/C(=N\*)/ON(NN(C#CC#CC#COO)S)ON)(CC)C
4	O[C@@](C#C)(O/N=C/C#C)CCI
5	C=CC(=C)C#C/C(=C(/C(=O)OC)\C)/N=C(\[C@H](OC)Cl)/OC
6	O/C=C(/C(=O)[C@]([C@@](C#C)(CN)C)(OC)C)\CC(=C)C
7	C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C
8	FCC(=O)C(C)C
9	/[PH0@@](=C/(/[CH3])([CH2](O)))(/[CH0@@]([CH0@@]([CH2](N))([CH3])(C(#C)))([CH3])(N))([CH2](/C(=N/(*))))(C)
10	CC[C@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CCl
11	C#CCOC(C#CC#C)(C)C
12	FC/C=C/[C@@](/C(=C/O)/C)(C(=C)C)OC#CC
13	COOC#COOC#C
14	C#CCOOC(=C)[C@@](N([C@@H](/C(=C/C)/C(=C(/OOC#N)\N)/N(CC)N)N)/C=C(\C=C\C)/CC)(C#CC#CN)Cl
15	CC(=C)C(=O)C#C
16	COP(=C([C@](N=O)(N)C)OC)N(CC)N
17	CC[C@@H](C(=C)/C(=C/C/C=C(\C(=O)SC)/C)/C)C
18	CC(C(C)C)C
19	ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C
20	C/C(=N\C#CCBr)/OC
21	C/C=C(/C=C/C#COC[C@H](N)C)\C
22	N#COO/C(=C(/C(=C\C)/C(=O)C)\N(CC)N)/N
23	CCO[C@@H]([C@H](OC(=C=C)CSC#C)P=C)O[C@H](OC)CC
24	NCC(=C)C#CN(C)C
25	CC/C(=C(/C#CF)\Br)/N=C
26	NCN([C@@](OC(OC=O)(C)C)(NN([C@@H](C#N)C)C#C)C)O
27	Br/C=N/OOOON(OC(=O)C)C#CC
28	NNCN
29	C=O
30	CC#C[C@H]([C@@]([C@@](C(=C)C)(Br)O)(C#N)O)O
31	CC#C/C(=C\C)/C(=O)COC(=O)CCC(=C)O
32	CCC#CC(=O)[C@@](N(C=C)C)(C(=O)OCC)N=O
33	C/C=N\C#C[C@@H](C#CC#N)C#COC(C)C
34	CN=O
35	CO[C@H]([C@](C(=C)C#C)(C(=O)CC)CC)C
36	C/C=C(/OC#CC#CF)\NO
37	O=CCC(OOO[C@](C(=C)C#N)(OC(=O)C)C)(C)C
38	C#C/C=C(/[C@](N(N(C/C(=C(\C(=C)ON)/O)/CC(=C)C#C)C)C)(C#C)N=C)\N
39	CC[C@@](C(=O)C(=C(C)C)N)(C(=C)O)[C@H](N)C
40	OOOC(/C(=C(\C#CC=O)/CO)/C)(C)C
1	*/N=N/[C@@](C(=C)[C@H](N)C)(C#CC(=O)F)OC#N
2	COOC(=O)/C(=N/*)/C#CC(=O)C(=O)C
3	OOC#CC#CC#CCCl
4	C/C=N\[C@@](C#C)(O/N=C/C#C)CCI
5	C=CC(=C)C#C/C(=C(/C(=O)OC)\C)/N=C(\[C@H](OC)Cl)/OC
6	CCC#CC/C(=C\O)/C(=O)[C@]([C@@](C#C)(CN)C)(OC)C
7	C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C
8	CC[C@@H](C(=C)/C(=C/CC(=O)C(C)C)/C)C
9	/[PH0@@](=C/(/[CH3])([CH2](O)))(/[CH0@@]([CH0@@]([CH2](N))([CH3])(C(#C)))([CH3])(N))([CH2](/C(=N/(*))))(C)
10	*/N=C/[C@](C/C(=N\*)/ON(NN([C@@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CC)S)ON)(CC)C
11	C#CCOC(C#CC#C)(C)C
12	FC/C=C/[C@](/C(=C/O)/C)(OC#CC)N
13	FOOC#COOC#C
14	O=COC(O[C@]([C@@H](N([C@](C(=C)OOCC#C)(C#CC#CN)Cl)/C=C(\C=C\C)/CC)/C(=C/C)/C(=C(/OOC#N)\N)/N(CC)N)(NN([C@@H](C#N)C)C#C)C)(C)C
15	C#COC#N
16	COP(=C([C@](N=O)(N)C)OC)N(CC)N
17	C/C(=C/[C@H](Br)F)/C(=O)SC
18	CCO[C@@H]([C@@H](P=C)C)O[C@H](OC)CC
19	ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C
20	C/C(=N\C#CCBr)/OC(=O)CCC(=C)O
21	NOC(=C)/C(=C(\C=C\C#CO[C@@H](N)C)/C)/O
22	CCN(/C(=C(\OC(=O)C(=C)C)/N)/C(=C\C)/C(=O)C)N
23	C[C@@H](C(C)C)OC(=C=C)CSC#C
24	NCC(=C)C#CN(C)C
25	CC#C/C(=C(\N=C)/CC)/Br
26	NCN([C@@](OC(OC=O)(C)C)(NN([C@@H](C#N)C)C#C)C)O
27	CCOOON(OC(=O)C)C#CC
28	CC(=C)CNN
29	C=O
30	CC#C[C@H]([C@@]([C@@](C(=C)C)(Br)O)(C#N)O)O
31	COCC(=O)/C(=C/C)/C#CC
32	CCOC(=O)[C@@](C(=O)C(=C)C)(N(C=C)C)N=O
33	OC#C[C@@H](C#CC#N)C#COC(C)C
34	O=NC(=O)C
35	CO[C@H]([C@](C(=C)C#C)(C(=O)CC)O/N=C/Br)C
36	C/C=C(/OC#CC#CF)\NO
37	O=CCC(OOO[C@](C(=C)C#N)(OC)C)(C)C
38	C#C/C=C(/[C@](N(N(C/C(=C/C)/CC(=C)C#C)C)C)(C#C)N=C)\N
39	C=CN([C@](C(=O)C(=C(C)C)N)(C(=C)O)CC)C
40	OOOC(/C(=C(\C#CC=O)/CO)/C)(C)C
1	*/N=N/[C@@](C(=C)C)(C#CC(=O)F)OC#N
2	*/N=C(/C(=O)OOC)\C#CC(=O)C#C
3	ClCC#CC#CC#CC(C)C
4	C[C@@](C#C)(/N=C\C)O/N=C/C#C
5	CO/C(=N/C(=C(\C(=O)OC)/C)/C)/[C@H](OC)Cl
6	N#CO[C@@]([C@@](C#C)(CN)C)(C(=O)/C(=C/O)/CC#CCC)C
7	C=C[C@]([C@](C#N)(Cl)C)(C(=C(C)C)N)C
8	CC[C@@H](C(=C)/C(=C/CC(=O)C(C)C)/C)C
9	/[PH0@@](=C/(/[CH3])([CH2](O)))(/[CH0@@]([CH1@@]([CH2](N))([CH3]))([CH3])(N))([CH2](/C(=N/(*))))(C)
10	CC[C@H]([C@H](C/C(=C(/N)\C)/CC)N=O)N(NN(O/C(=N/*)/C[C@@](/C=N/C#C)(CC)C)ON)S
11	C#CCOC(C#CC#C)(C)C
12	FC/C=C/[C@](/C(=C/C)/C)(OC#CC)N
13	FOOC#COOC(=O)C
14	O=COC(O[C@]([C@@H](N([C@](C(=C)OOCC#C)(C#CC#CN)Cl)/C=C(\C=C\C)/CC)/C(=C/C)/C(=C(/OOC#N)\N)/N(CC)N)(N)C)(C)C
15	C/C(=C(/C#CC=O)\CO)/OC#C
16	N#C[C@H](N(N[C@](C(=P(N(CC)N)OC)OC)(N=O)C)C#C)C
17	C/C(=C/[C@H](Br)F)/C(=O)SC
18	CCO[C@@H]([C@@H](P=C)C)O[C@H](OO)CC
19	ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C
20	C/C(=N\C#CCBr)/OC(=O)CCC(=C)O
21	OC#C[C@H](/C(=C(/C=C/C#CO[C@@H](N)C)\C)/C(=C)ON)C#CC#N
22	ICCC(=C)C(=O)O/C(=C(/C(=C\C)/C(=O)C)\N(CC)N)/N
23	C[C@@H](C(C)C)OC(=C=C)CSC#C
24	CC#CC(=C)CN
25	CC#C/C(=C(\C#C)/CC)/Br
26	NCN(C#CC#CF)O
27	CCOOON(OC(=O)C)O/N=C/Br
28	NNCC(=C)[C@H](N)C
29	C=O
30	CC#C[C@H]([C@@]([C@@](C(=C)C)(Br)C)(C#N)O)O
31	COCC(=O)/C(=C/N(C)C)/C#CC
32	CCOC(=O)[C@@](C(=O)C(=C)O)(N(C=C)C)N=O
33	CC(OC#CO)C
34	C=CC(=C)C#CC(=O)N=O
35	CO[C@H]([C@](C(=C)C#C)(C(=O)CC)C#CC)C
36	O=COC(O[C@@](NN([C@@H](C#N)C)C#C)(O/C(=C/C)/NO)C)(C)C
37	O=CCC(OOO[C@](C(=C)C)(OC)C)(C)C
38	CN(N([C@@](/C(=C/N=C)/N)(C#C)N=C)C)C/C(=C/C)/CC(=C)C#C
39	C=CN([C@](C(=O)C(=O)N=O)(C(=C)O)CC)C
40	OOOC(C#N)(C)C
1	*/N=N/[C@@](C(=C)C=C)(C(=C)C)C#CC(=O)F
2	COOC(=O)/C(=N/C(=C)CCI)/C#CC(=O)C#C
3	ClCC#CC#CC#CC
4	C=NO/N=C/C#C
5	CO/C(=N/N)/[C@H](OC)Cl
6	N#CO[C@@](C(CN)(C)C)(C(=O)/C(=C/O)/CC#CCC)C
7	C=C[C@@](C(=C(C)C)N)(OOC#N)C
8	CC(=O)C(C)C
