FILENUM	Canonical_SMILES
1	OCCC(=[P@H]([C@]([C@H](COC#CN(O)C)CO)(OC)CC)C)C
2	C/C=C(/OO/C(=C(\C(=O)C=O)/CC(=C)C)/C)\C#C[C@H](N)C
3	ONCC[C@@](/C(=N/*)/C(=C)OC#C)(/C(=C/C#N)/C)OCN(OC#C)O
4	C=C[C@H]([C@H]([C@H]([C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)C)C)C
5	CCC[C@](N(N([C@](N=O)(CC)C)OOC(=C)CC)O[C@@H](/C(=N/*)/C=C)O)(OC)Br
6	NOC[C@@H](/C(=C(\[C@@]([C@@](C(=O)N)(N)C)(C(C=C)(C)C)ON=O)/O[C@H](C#C)C)/CC)C
7	NOC[C@@H](/C(=C(\[C@@]([C@@](C(=O)N)(N)C)(C(C=C)(C)C)ON=O)/N)/CC)C
8	C#CO[C@]([C@@](C(=O)O)(C(C)C)CC)([C@H](NO)CC)N=O
9	CCOCN([C@](O[C@H](C(=C)COCCC)C#C)(C#C[C@](OCC)(CC)F)C)OC#N
10	CCOCN([C@](O[C@@H](C#CN)OF)(C#C[C@](OCC)(CC)F)C)OC#N
11	O=C[C@@H](/C=C(/[C@@](C(=O)N=C(/C(=N/*)/C(=C)N)[C@@H](C#C)N)(OC)C)\C)C
12	C=NO[C@@](N(/C(=C(/C#CO)\C)/C#CBr)N=O)(OC#CC(=O)C#N)CC
13	CCCC[C@](/C(=N/*)/O/C(=C/C)/C#N)(C#CC(=O)OC#C)C#CC=C
14	O=CO/C(=N\C#C/C(=C(\C(=C(/OC#C)\C)\N)/CO)/NC)/C
15	NOON([C@@](N=O)(CC)C)N([C@@](CCC)(OC)Br)O[C@H](O)C
16	C#CO[C@]([C@]([C@@](C=C)(OC)CC)(C(=O)C)C#N)([C@]([C@H](O)C)(C=C)C)C(=O)C(=C)CC
17	*/N=C\OO[C@](N[C@@H]([C@@]([C@@]([C@@H]([C@@H]([C@@H](C=C)C)C)C)([C@H](I)C)C#N)([C@@H](CC)C)I)C=O)(C#CC)N
18	OC[C@H](O[C@]([C@](C(O)(C)C)(C#CC)C)(N(CC)C)C(=C)C)O[C@@H](O)C
19	CC#COC[C@](C[PH3][C@@](/C(=C(/C(=N/*)/C)\O)/C#C)(/C(=N/*)/C)C)(O)C
20	O=CCN(/C(=C/C)/[C@]([C@](N=C)(CO)C)([C@H](C=C)ON)C#C/C=C/C)O
21	C=CC/C(=C(\C(=N\*)\C=C)/OO/C(=C/C)/C#C[C@H](N)C)/C(=O)C=O
22	OCOC(=O)C#CC(=O)/C(=C(\OC#CC)/C=N/*)/[C@](C(=C)C#C)(CC)C
23	FNO[C@@](C(=C)/C(=C(\C(=N\*)\C)/C)/C#CC(=C)C(C)C)(/C=N/*)C#C
24	O=CO[C@](O/C(=C(/CC#C)\C)/[C@@H]([C@@H]([C@H](C=C)C)C)C)(CC)N
25	ON[C@H](/C(=C(\[C@](C=C)(F)N)/C(=C)C)/[C@](C(=C)CN)(CC(=O)C)O)C
26	C#COOO[C@]([C@@](C(=O)O)(C(C)C)CC)([C@H](NO)CC)N=O
27	C/C=N/[C@H](/C(=C(/C(=C/[PH2](C#CC)C=C)/C#CC)\C#CN=O)/N=O)C#C
28	C/C=N/[C@H](/C(=C(/C(=C/[PH2](C(=C)C)C#CC)/C#CC)\C#CN=O)/N=O)C#C
29	C=NO[C@@](N(/C(=C(/C#CO)\C)/C#CBr)N=O)(OC#CC(=O)C#N)CC
30	C#CO[C@@]([C@]([C@@](C=C)(OC)CC)(C(=O)C)C#N)(C(=O)C(=C)CC)C#C
31	CCC#C/C(=C(/[C@]([C@]([C@@H](C=O)NO)([C@@H](CC)C)I)([C@H](I)C)C#N)\C(=O)C#C)/C
32	NOC[C@@H](/C(=C(\[C@@]([C@@](C(=O)N)(N)C)(C(C=C)(C)C)ON=O)/N)/CC)C
33	CC#COC[C@](C[PH3][C@@](/C(=C(/C(=N/*)/C)\O)/C#C)(/C(=N/*)/C#C)C)(O)C
34	O=C[C@@H](/C=C(/[C@@](C(=O)N=C([C@H](C(=C)CC)C#C)/C(=N/*)/C(=C)N)(OO)C)\C)C
35	C=NC/C=C(/C(=C(\[C@](C(=O)C)(Br)C)/C(=C)/C(=C\C)/[C@]([C@H](O)C)(C=C)C)/C#N)\C
36	CC[C@H]([C@]([C@@](C(=O)O)(C(C)C)CC)(O[C@]([C@H](O)C)(C=C)C)N=O)NC#CC
37	*/N=C(\C#C/C(=C(\O)/C)/O)/OOC#N
38	CCCOCC(=C)[C@@](/C(=N/*)/N)(N(O/N=C/N=C)O)C#C[C@@H](CO)C
39	*/N=C/CO[C@@](/C(=C(/C(=O)C)\C/C=N/*)/C(=C(\C#C)/C)/C#C)(O)C
